Pays,Name Long,RegionLabel,janv-25,févr-25,mars-25,avr-25,mai-25,juin-25,juil-25,août-25,sept-25,oct-25,nov-25,déc-25,janv-26,current
Taiwan,Taiwan,TWN,714,1013,1044,1714,989,862,1239,957,1167,686,933,1584,1458,1458
Tajikistan,Tajikistan,TJK,56,78,78,73,70,97,111,167,59,107,60,64,57,57
Tanzania,Tanzania,TZA,442,664,350,0,0,0,0,0,253,0,0,0,0,0
Thailand,Thailand,THA,26,48,32,1181,862,1091,2880,1525,1168,1275,1596,2681,952,952
Timor-Leste,Timor-Leste,TLS,3,6,3,58,18,4,22,14,13,32,21,13,16,16
Togo,Togo,TGO,350,545,594,604,713,875,918,660,356,437,356,368,345,345
Tonga,Tonga,TON,47,65,46,53,86,62,109,90,59,66,76,81,47,47
Trinidad & Tobago,Trinidad and Tobago,TTO,8,11,4,26,22,21,9,8,26,177,107,36,36,36
Tunisia,Tunisia,TUN,943,1249,1269,1187,1173,1600,1328,1129,1662,1244,1317,2069,1716,1716
Turkey,Turkey,TUR,2304,2676,5288,2827,6616,3878,4676,3523,3347,3475,4022,2769,3461,3461
Turkmenistan,Turkmenistan,TKM,20,57,36,31,65,134,34,60,48,27,40,95,30,30
Turks & Caicos Islands,Turks and Caicos Islands,TCA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tuvalu,Tuvalu,TUV,3,37,8,6,10,65,101,20,8,11,35,27,7,7
Uganda,Uganda,UGA,454,568,425,423,460,451,430,641,412,381,781,782,788,788
Ukraine,Ukraine,UKR,10158,24034,33849,17808,23088,14919,17139,24596,17706,12983,18382,19971,13739,13739
United Arab Emirates,United Arab Emirates,ARE,540,1346,355,520,1324,1011,908,866,635,626,1178,1207,1322,1322
United Kingdom,United Kingdom,GBR,4812,5274,6783,4735,7186,5157,9602,6078,7813,4642,4734,3613,3984,3984
United States,United States,USA,35477,39459,42894,41080,39124,40686,40233,35000,32680,29362,30294,22230,24626,24626
Uruguay,Uruguay,URY,325,145,282,215,399,350,338,254,474,261,352,840,979,979
Uzbekistan,Uzbekistan,UZB,78,127,128,115,101,220,123,157,164,190,227,318,153,153
Vanuatu,Vanuatu,VUT,50,58,41,36,58,43,190,26,68,18,21,62,27,27
Vatican City,Vatican,VAT,571,3168,3357,10319,6995,858,878,891,904,0,0,0,0,0
Venezuela,Venezuela,VEN,1250,685,649,653,1037,763,687,827,1333,2122,2054,3041,13890,13890
Vietnam,Vietnam,VNM,833,1024,883,2491,2428,1348,2025,1172,1215,1057,1541,1204,1178,1178
Virgin Islands, U.S.,#N/A,VI,0,0,0,0,0,0,0,0,0,0,0,0,0
Wallis and Futuna,#N/A,WF,44,48,88,0,0,0,0,0,0,0,0,0,0,0
Western Sahara,#N/A,ESH,559,665,672,745,161,156,376,166,80,258,745,241,118,118
Yemen,Yemen,YEM,753,375,1932,1188,1912,1673,738,822,717,398,302,682,659,659
Zambia,Zambia,ZMB,167,129,118,108,112,159,239,275,159,117,129,980,290,290
Zimbabwe,Zimbabwe,ZWE,234,214,372,199,203,197,332,231,159,137,118,720,180,180
